2020
3
2020-11-04 20:05:54
"Disclaimer: *NEW* We are providing this transcript version in a raw, machine-assisted format and it is unaudited. Please reference the audio for any questions on the content. A standard transcript will be available later on the site per our normal procedure. Please enjoy this timely version in the interim:
Operator:  Good afternoon, ladies and gentlemen, gentlemen. My name is Angela and I will be your host operator on this call. As your prepared comments, we will conduct a question and answer session. Instructions will be provided at that time. If at any time during the conference you need to reach an operator, please press star followed by zero. Please note that this call is being recorded on November 4th, Twenty twenty at 5:00 p.m. Eastern on. I'd like to turn the meeting over to your host for today's call, Adam Drizzt, director of Corporate Development and Investor Relations of RÁKOSI. Please go ahead.
Adam Terese :  Good afternoon. Thank you for joining Workiva third quarter Twenty twenty conference call. Today's call has been prerecorded comments by our chief executive officer, Marty Underflow, followed by our chief financial officer, Stuart Miller, who will open the call up for a live Q&A session. But our chief accounting officer is also on the call. A replay of this webcast will be available on November 11. Information to access the replay listed in today's press release, which is available on our website under the investor relations section. Before we begin, I'd like to remind everyone that there in today's call will be making forward looking statements regarding future financial performance, including guidance for the fourth quarter and full fiscal year twenty twenty. These four looking statements are subject to known and unknown risks and uncertainties, where he cautions that these statements are not guarantees of future performance. All forward looking statements made today reflect our current expectations only, and we undertake no obligation to update any statement to reflect the events that occur after this call. Please refer to the company's annual report on form 10K in subsequent filings for factors that could cause our actual results to differ materially. Any false statements? Also, during the course of today's call, we will refer to certain non-cash financial measures, Reconciliation's of Gas to Gap measures and certain additional information are also included in today's press release. With that, we'll begin to turn the call over to our CEO, Marty Dataflow.
Marty Vanderploeg :  Hello, everyone, and thank you for joining today's call. We made great progress in our third quarter. The global trends of online collaboration and remote work continue to benefit. We're Kiva. Customers use our cloud platform to simplify their complex work by connecting data and teams and by automating and streamlining processes. Financially, we exceeded guidance for revenue and operating income. We delivered more than 20 percent growth in subscription revenue and generated record bookings. In particular, we saw strong bookings and global statutory reporting, management reporting and capital markets. As a result, we are raising guidance for the fourth quarter. Stuart will provide details later in the call. In Q3, we continued to upgrade customers to our next generation platform. Customers accounting for over 90 percent of our annual contract values are now utilizing our new platform, the next generation will keep a platform is a key enabler for our growth strategy. Our new platform is more open, intuitive and scalable. We can now more quickly build and deliver new fit for purpose solutions that solve specific business problems we believe deliver a new platform. Extending solutions will continue to drive our success. A virtual marketing events continue to produce positive results in terms of record attendance, global reach and targeted sales leads in September. 6000 customers, prospects and partners from over 60 countries participated in Amplify our annual user conference. Our virtual sessions focused on solving universal challenges around data, workflow and complex reporting. And last month, 76 key technology and advisory partners joined us for our annual Partner Summit. Our summit addressed how partners can better leverage our platform, but their deep domain expertize to develop high value solutions. We expect our partners to drive an increasingly higher percentage of our future revenue growth. I would like to take this opportunity to thank our employees for supporting our customers and upholding our values based culture, even in the face of a challenging twenty twenty that delivered our next gen platform, upgraded our customers and generated strong sales growth. In closing, we remain confident in our ability to capitalize on our new platform as enterprises continue to move to the cloud. With that, I will turn the call over to Stuart Miller.
Stuart Miller :  Thank you, Marty. As mentioned on our last call, we began to see a more predictable cadence to closing deals at the end of the second quarter, suggesting that our customers and prospects were settling into a new normal. That pace accelerated in the third quarter across a broad range of our solutions, particularly global statutory reporting, management reporting and capital markets, both transaction volume and average deal size came in above our expectations in the third quarter, doing so with almost no help from price optimization. As a result, we are raising guidance for Q4, which I will discuss later. Before covering archery financials, I want to provide an update on a regulatory matter. On October 20, first the European Union granted its member states the option to delay compliance with the EU mandate for one year to help companies free up resources for more urgent pandemic related matters. We expect all EU member states to exercise the option, the one year delay has had no material impact on our outlook for the. Turning now to our financials, as always, I will talk about our results and guidance on Dawngate basis, refer to our press release for a reconciliation of our noncapital gap results guidance. I'll address our performance against Q3 guidance first. We beat you three Twenty twenty revenue guidance at the midpoint by three and a half million dollars, higher subscription revenue accounted for most of the.  We succeeded in collecting a high percentage of the receivables that we had held in reserve at the end of Q2. The pandemic had less of an impact on selection's than we had anticipated in June. In addition, we closed more deals early in the quarter and we sold and delivered some capital markets deals within the quarter. We beat guidance on two three operating income by more than nine million dollars. The revenue you just mentioned accounted for just over a third of the swing. The remainder of the relative to guidance included lower travel and entertainment costs, reduced expenses from shifting marketing and internal events to a virtual format. Recovery of bad debt expense. Pyo pito usage and decreased occupancy costs. Now, turning to a comparison of Cuchi Twenty twenty to Q3 last year, we generated total revenue in the third quarter of eighty eight point one dollars million, an increase of eighteen point eight percent from Q3 2019. Breaking out revenue by reporting line item description and support revenue with seventy five point nine dollars million, up twenty point four percent from Q3 2019. New logos and new solutions help drive strong revenue growth GAAP Twenty twenty. Fifty one percent of the increase in estimates revenue in Q3 came from new customers added in the last 12 months. The balance in the increase came from companies who've been our customers for more than a year.
Operator:  As a reminder to ask a question, you need to buy Star one on your telephone to withdraw your question plus the pound or hash key. Please stand by. When we come back, the Q&A roster. And your first question is from the line of Terry Tillman with truth, please go ahead.
Terry Tillman :  Hey, good afternoon, gentlemen. Can you hear me okay? Yeah, well, congrats on the improving trends. It's really good to see some of these KPI in the Billings in RPO. My first question, though, just relates, you know, maybe this is a little bit of an education for me or just an update. But, you know, you called out global statutory reporting and management reporting in capital markets activity. Could you maybe kind of stack rank those in terms of are there notable differences typically in the deal sizes for those use cases? And just those are those prominently kind of positioned in your guide for next year? Or is there anything else that kind of comes online that's notable next year beyond these three items? Do you call it out in the net? Follow up?
Marty Vanderploeg :  Go, Stuart.
Stuart Miller:  So, Terry, I'd say global stat is, you know, and most of those deals are six figure some middle six or high six figures for sure. Management reporting has got a pretty wide range, depending on the use case, the size of the customer and so forth. And then capital markets sort of typically low, low six figures. They're you know, we got good contribution from integrated risk and, you know, a number of other use cases. And we expect that to, you know, continue into next year. We just called those out in particular because they were performing above expectation for the quarter.
Terry Tillman :  Ok, and just take, I guess, the following question, and I don't know if this is for your Marti, but see in the big federal sector deal, you know, this past quarter, I'd like to hear more in terms of, you know, how that kind of came about, you know, what factored in to kind of the decision to go with you guys there and how the federal sector and public sector is looking in general. And thank you.
Marty Vanderploeg :  Well, I would I would say that, you know, the thing that has really changed for us and we alluded to that is, you know, we we spent four years, you know, we architecting our platform. We have a true platform now. And so when we go into something, you know, something like the Department of Justice, we talk about all the different uses of the platform, that being financial reporting, internal controls, you know, all sorts of different things that they have to do. And so they really view it as being a platform for a lot of different function. And, you know, they really don't. Now, almost all the government agencies we've run into are still using word and excel. So it's a pretty natural sell. The outlook is, you know, right now, of course, everything's locked up, but the outlook is it looks good, but it's very lumpy. It's a lumpy business and also, you know, as in the September spike every year. So it's but we're very optimistic about it.
Operator:  And your next question is from the line of Chris Warren with Goldman Sachs. Please go ahead.
Chris Merwin:  Ok, thank you so much for taking my question. I wanted to ask about, I guess, you know, on going call, there's a delay, you know, with ease of compliance for about a year. But the same time we saw a 20 percent of new logos come from customers adopting an ETF solution. So and you think about the impact of this, how would you say it impacts pipeline build if perhaps even in a positive way or deal close rates in that region in the coming quarters? Just trying to get a sense, you know, if this actually helps you in some way by being able to initiate more conversations or how about would you describe the impact? Thank you.
Marty Vanderploeg :  You know, the you know, Stuart Marty, by the way, Stuart did say it didn't affect our outlook for a next year. What we're seeing is, you know, companies are they realize we still have to do this, he says, has been delayed one year because of coal. But that's sort of the story. And they know they have to do it. They're partly down the path of due diligence and learning what they have to do. And we really you know, we've been continuing to close these deals even after the announcement. So we really don't see that as changing our trajectory. I think if anything, you know, the type of competitors we have, there are very small companies that were more or less starting for this business. And if it's going to hurt anyone, that's going to hurt them more than others. And I think it is true, we will be able to have more conversations that will be less rushed. And so I think in general, it certainly is neutral and it could potentially be positive.
Chris Merwin:  Ok, great, thank you. Maybe just a quick follow up on that, the buildings, no, obviously super impressive in the quarter and there's a big build up and deferred that we saw on the balance sheet. So, you know, was there anything abnormal there in terms of Popov's or anything like that, or was it just a really healthy execution? You know, in terms of in terms of closing a business?
Stuart Miller:  As Marty indicated and his talk, you know, it was a record quarter for bookings and. It was it was strong throughout the quarter, and so there was really nothing unusual going on other than just really good execution.
Chris Merwin:  Great, thank you.  Your next question is from the line of Stan Slutsky with Morgan Stanley. Please go ahead.
Stan Zlotsky :  Perfect. Thank you so much, guys, and congratulations on a very strong quarter. Maybe just following up on Chris's question, the strength of the quarter. And I think it really surprised a lot of people to the to the upside is mainly manifesting in Billings. And you mentioned that you had a lot of deals closing in the beginning of the quarter. Was there some some essentially of pent up demand from the, you know, the Q1 and Q2 delays that ended up closing early in Q3 and driving some of the deferred revenue build?
Marty Vanderploeg :  Stuart, go ahead.
Stuart Miller:  Yeah, so definitely stand there was some we think there was some pent up demand. We were heartened that the you know, the pipeline we've been carrying a big pipeline all year and we were seeing the pipeline and continuing to build. And we you know, we're bringing in a big pipeline into the fourth quarter. So, you know, that's that's why we're optimistic.
Stan Zlotsky :  Ok, perfect, and maybe a quick follow up. Obviously, we all saw the very strong capital markets activity with so many IPOs coming public in through the summer and into early fall. Can you help us characterize, you know, how much of that if if it all material helped Q3 and maybe your your outlook for the rest of this year and, you know, how are you thinking about that activity going into Twenty twenty one?
Marty Vanderploeg :  Sure. So I think that it's fair to say that companies going public are increasingly seeing the value of our platform. And, you know, part of that is the fact that they're they're working remotely and trying to do deals remotely. And certainly some of the more progressive law firms are embracing it, which is a good thing. You know, we had a very strong IPO market in in Q3. And, you know, we'll we'll see what kind of impact, if any, of this election has on Q4. You know, it's not you know, percentage wise, it was a big but but is it in terms of dollar contribution for deals that were sold and delivered within the quarter? Not not a big number.
Stan Zlotsky :  Got it. Thanks so much.
Stuart Miller:  Worse than a million dollars. Thank you. I will just add to that all of our solutions are. Saw increased strength. I mean, this was across the board execution, I would say, so it was anyone one anomaly.
Stan Zlotsky :  Right. That makes a lot of sense. Thank you so much.
Operator:  Your next question is from the line of Tom Roderick with Stifel. Please go ahead.
